Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Joe Beimel","SEA",13.2,60,0.727272727,0.224489795,0.326530612,0.448979591,0.09090909,0.045454545,0.1875,0.333333333,0.23076923,0.55769231,0.21153846,0.15384615,0.57692308,0.26923077,979
"Total","Aaron Thompson","MIN",11.2,51,1.5,0.166666666,0.5,0.333333333,0,0,0.055555555,0.5,0.36842105,0.36842105,0.26315789,0.13157895,0.63157895,0.23684211,999
"Total","Ryan Vogelsong","2 Tms",3,16,1.666666666,0.272727272,0.454545454,0.272727272,0,0.333333333,0,0,0.36363636,0.45454545,0.18181818,0.18181818,0.36363636,0.45454545,1011
"Total","Jake Peavy","SFG",2,10,3,0.333333333,0.5,0.166666666,0,0,0,0,0.66666667,0.16666667,0.16666667,0,0.33333333,0.66666667,1051
"Total","Rafael Soriano","CHC",2,11,0.25,0.5,0.1,0.4,0.25,0,0,0,0.4,0.4,0.2,0.3,0.3,0.4,1100
"Total","Ichiro Suzuki","MIA",1,5,0.333333333,0.2,0.2,0.6,0,0,0,0,0.8,0.2,0,0,0.6,0.4,1101
"Total","Marco Estrada","TOR",1,4,1,0.5,0.5,0,0,0,0,0,1,0,0,0,0,1,1118
"Total","Joe Nathan","SFG",1.1,6,1,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,1122
"Total","Jerome Williams","2 Tms",11.2,49,0.928571428,0.228571428,0.371428571,0.4,0,0,0,0,0.35135135,0.37837838,0.27027027,0.10810811,0.56756757,0.32432432,1137
"Total","Tommy Hunter","6 Tms",110.2,457,1.21238938,0.196141479,0.440514469,0.363344051,0.123893805,0.10619469,0.05109489,0.333333333,0.37261146,0.35350318,0.27388535,0.18152866,0.53184713,0.2866242,1157
"Total","Andrew Romine","2 Tms",2,11,6,0.125,0.75,0.125,0,0,0,0,0.625,0.25,0.125,0.125,0.5,0.375,1159
"Total","Matt Bush","2 Tms",96,391,0.940594059,0.216,0.38,0.404,0.0990099,0.168316831,0.052631578,0,0.36363636,0.28853755,0.34782609,0.17391304,0.50592885,0.3201581,1246
"Total","Adam Ottavino","4 Tms",201.1,868,1.260869565,0.159595959,0.468686868,0.371717171,0.108695652,0.108695652,0.090517241,0.5,0.37675351,0.34268537,0.28056112,0.20440882,0.52705411,0.26853707,1247
"Total","Pedro Beato","PHI",0.2,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1330
"Total","Blake Wood","2 Tms",46,212,1.5,0.197080291,0.481751824,0.321167883,0.113636363,0.136363636,0.06060606,0,0.36231884,0.36956522,0.26811594,0.15217391,0.49275362,0.35507246,1345
"Total","Nick Hagadone","CLE",6,31,0.625,0.38095238,0.238095238,0.38095238,0.25,0.125,0,0,0.54545455,0.36363636,0.09090909,0.18181818,0.5,0.31818182,1351
"Total","Andrew Bailey","3 Tms",12,48,0.666666666,0.193548387,0.322580645,0.483870967,0.2,0.066666666,0.1,0,0.35483871,0.19354839,0.4516129,0.16129032,0.51612903,0.32258065,1368
"Total","Charlie Furbush","SEA",9.2,36,1.222222222,0.166666666,0.458333333,0.375,0.333333333,0,0,0,0.36,0.56,0.08,0.28,0.44,0.28,1370
"Total","Joaquin Benoit","5 Tms",118.2,477,1.008196721,0.194078947,0.404605263,0.401315789,0.147540983,0.114754098,0.056910569,0,0.40322581,0.29032258,0.30645161,0.22903226,0.46774194,0.30322581,1437
