Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Blake Wood","CIN",11,16,12.2727273,3,0,1,5,5,0,5,0,0,3,0.272727272,0.5,0.454545454,0.4237370938062668,1345
"Total","Nick Hagadone","CLE",1,0,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1351
"Total","Andrew Bailey","2 Tms",4,5,6.74999997,0,0,0,1,1,0,1,0,0,0,0,0.2,0,0.13812240362167358,1368
"Total","Charlie Furbush","SEA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370
"Total","Joaquin Benoit","2 Tms",3,4,9,1,1,0,1,1,0,0,0,0,1,0.25,0.25,0.5,0.30804207921028137,1437
"Total","Jon Edwards","2 Tms",2,3,0,0,0,0,0,0,0,1,0,0,1,0,0.333333333,0,0.22894767920176187,1483
"Total","Oliver Perez","3 Tms",20,20,15.42857142,4,1,0,9,8,1,2,0,0,5,0.25,0.315789473,0.5,0.3333250503791006,1514
"Total","Sean Doolittle","4 Tms",6,6,0,1,0,0,0,0,0,0,0,0,2,0.166666666,0.166666666,0.166666666,0.14650922020276388,1581
"Total","Francisco Rodriguez","DET",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1642
"Total","Javier Lopez","SFG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663
"Total","Chris Capuano","MIL",1,1,18,1,0,0,2,2,1,0,0,0,0,1,1,4,2.014758825302124,1701
"Total","Kevin Gregg","CIN",1,2,27.00000027,1,0,0,1,1,0,0,0,0,1,0.5,0.5,0.5,0.44041192531585693,1793
"Total","Neal Cotts","MIL",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797
"Total","Matt Belisle","3 Tms",4,4,27.00000027,1,0,0,3,3,1,0,0,0,1,0.25,0.25,1,0.5077071189880371,1837
"Total","Edwin Jackson","2 Tms",2,3,81.00000081,1,0,0,3,3,1,1,0,0,0,0.5,0.666666666,2,0.9017902811368307,1841
"Total","Ryan Madson","3 Tms",6,8,16.19999997,3,1,0,3,3,0,0,0,0,0,0.428571428,0.375,0.571428571,0.3770781382918358,1852
"Total","Matt Moore","3 Tms",8,13,13.49999998,4,0,0,4,4,0,1,0,0,2,0.363636363,0.416666666,0.363636363,0.351652259627978,1890
"Total","David Aardsma","ATL",1,1,9,1,0,0,1,1,0,0,0,0,0,1,1,1,0.8808238506317139,1902
"Total","Jason Frasor","KCR",1,2,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0.3434215188026428,1906
"Total","Matt Thornton","WSN",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1918
"Total","Ivan Nova","NYY",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
"Total","Jorge De La Rosa","2 Tms",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2047
"Total","Chien-Ming Wang","KCR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074
"Total","Adam Loewen","PHI",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3434215188026428,2134
"Total","Chad Qualls","2 Tms",3,3,27.00000027,1,0,0,2,2,1,0,0,0,0,0.333333333,0.333333333,1.333333333,0.6884314219156901,2170
"Total","Blaine Boyer","3 Tms",12,12,0,0,0,0,0,0,0,1,0,0,3,0,0.09090909,0,0.06299945983019742,2237
"Total","Joel Peralta","SEA",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2332
"Total","Hector Rondon","3 Tms",11,13,11.99999996,4,2,0,4,4,1,0,0,0,4,0.333333333,0.333333333,0.75,0.4443133622407913,2391
"Total","Cory Rasmus","LAA",2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2413
"Total","Jhoulys Chacin","2 Tms",7,12,7.71428573,2,1,0,2,2,0,1,0,0,2,0.181818181,0.25,0.272727272,0.23632831871509552,2608
"Total","Scott Atchison","CLE",2,3,0,2,1,0,0,0,0,0,0,0,0,0.666666666,0.666666666,1,0.7123647928237915,2642
