Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Justin Masterson","BOS",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,2038
"Total","Jorge De La Rosa","2 Tms",4,11,2.25,0,1,0,0.09090909,0,0.09090909,0.09090909,0.25,0.1,-1,2.658570321398634,3.103271896141428,2047
"Total","Jeremy Guthrie","KCR",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,2072
"Total","Chien-Ming Wang","KCR",1.2,7,16.19999997,5.39999999,3,0,0.42857143,0.14285714,0.28571429,0.333333333,1.8,0.66666667,1,1.3465603864430173,1.3465603864430171,2074
"Total","Adam Loewen","PHI",1.1,4,6.75000002,0,1,0,0.25,0,0.25,0.25,0.75,0.33333333,1,1.6335937462500005,1.6335937462500008,2134
"Total","Chris Narveson","MIA",1.1,6,6.75000002,13.50000003,0.5,0,0.16666667,0.33333333,-0.16666667,0.25,2.25000001,0.33333333,1,6.139150885869233,8.495106982373322,2141
"Total","Alfredo Simon","CIN",0.2,8,0,0,0,13.49999993,0,0,0,0.857142857,8.99999996,0.71428571,-0.2173913,22.646560285343018,8.143362598469128,2155
"Total","Chad Qualls","2 Tms",2.2,9,6.75000002,0,2,0,0.22222222,0,0.22222222,0.333333333,1.125,0.42857143,0,1.6430828056756999,2.196460572289979,2170
"Total","Blaine Boyer","4 Tms",11,37,4.9090909,0,6,0,0.16216216,0,0.16216216,0.257142857,0.81818182,0.29032258,0,2.055362965391205,3.6954515735739752,2237
"Total","Brandon Gomes","TBR",2.2,10,3.375,3.375,1,0,0.1,0.1,0,0.25,1.125,0.25,1,3.5085937495312502,5.168727043148587,2267
"Total","Joel Peralta","3 Tms",1.2,10,16.20000006,10.80000004,1.5,10.80000004,0.3,0.2,0.1,0.375,3.00000001,0.33333333,0,18.743967118689973,6.913496816350813,2332
"Total","Hector Rondon","3 Tms",10.1,40,10.4516129,4.35483871,2.4,1.74193548,0.3,0.125,0.175,0.228571428,1.25806452,0.28571429,0.49019608,4.833539414115013,4.496489583026684,2391
"Total","Cory Rasmus","LAA",1.2,11,10.79999998,5.39999999,2,0,0.18181818,0.09090909,0.09090909,0.6,4.19999999,0.75,0.14285714,2.541373730890251,5.311543022210607,2413
"Total","Corey Kluber","BOS",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.25504035949707,5.73506797802211,2429
"Total","Jhoulys Chacin","2 Tms",5.2,21,7.94117647,3.17647059,2.5,1.58823529,0.23809524,0.0952381,0.14285714,0.222222222,1.05882353,0.23076923,-0.65217391,4.7351772859989705,4.568280359091041,2608
"Total","Scott Atchison","CLE",0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,-2,3.13359375,7.560615916116898,2642
"Total","Brian Matusz","BAL",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,7.560615849711565,2646
"Total","Brett Cecil","2 Tms",8.1,33,11.88,2.16,5.5,2.16,0.33333333,0.06060606,0.27272727,0.310344827,1.32,0.38888889,0.24390244,4.348845482342737,2.8668979196514552,2660
"Total","Joba Chamberlain","2 Tms",1,4,18,0,2,0,0.5,0,0.5,0.25,1,0.5,1,-0.8577618280614328,-0.8577618280614328,2692
"Total","Jake Brigham","ATL",1,4,18,0,2,0,0.5,0,0.5,0.25,1,0.5,1,-0.8664062499999998,-0.8664062499999998,2851
"Total","Ross Detwiler","6 Tms",4.1,23,14.53846155,4.15384616,3.5,0,0.30434783,0.08695652,0.21739131,0.45,2.53846154,0.69230769,0.33333333,1.99047357023914,2.7381742247845358,2859
"Total","Santiago Casilla","OAK",3,14,3,3,1,0,0.07142857,0.07142857,0,0.4,1.66666667,0.4,0.57142857,5.491593445675032,6.677464311655816,2873
"Total","Luis Avilan","6 Tms",12.2,43,4.2631579,2.84210527,1.5,0.71052632,0.13953488,0.09302326,0.04651163,0.157894736,0.78947369,0.16129032,0.83333333,4.425405970778513,4.800630400994125,2882
"Total","Zach McAllister","2 Tms",4.1,22,8.30769231,0,4,6.23076924,0.18181818,0,0.18181818,0.409090909,2.07692308,0.4,-0.41666667,10.319987770683984,5.732943848486265,2895
"Total","Josh Ravin","LAD",1,7,27,9,3,0,0.42857143,0.14285714,0.28571429,0.5,4,1,0.5,0.149624379556065,0.149624379556065,2951
"Total","Kenley Jansen","LAD",1,2,9,0,1,0,0.5,0,0.5,0,0,0,1,1.177162520019455,1.177162520019455,3096
"Total","Tony Watson","4 Tms",15.2,52,8.61702127,1.14893617,7.5,0.57446808,0.28846154,0.03846154,0.25,0.212765957,0.76595745,0.27272727,0.43103448,2.659945607812688,2.946296669475096,3132
"Total","Tim Collins","2 Tms",1,3,9,0,1,0,0.33333333,0,0.33333333,0,0,0,1,1.1782908755741741,1.1782908755741741,3164
"Total","David Price","2 Tms",5,20,12.6,1.8,7,0,0.35,0.05,0.3,0.166666666,0.8,0.27272727,0.6,1.5598748206708262,2.618492096624119,3184
"Total","Will Harris","2 Tms",16.2,59,8.1,2.16,3.75,1.08,0.25423729,0.06779661,0.18644068,0.2,0.9,0.23684211,0.6557377,3.6419468973853557,4.106422292971935,3192
"Total","Chris Young","KCR",5.1,18,8.43750001,1.6875,5,1.6875,0.27777778,0.05555556,0.22222222,0.235294117,0.9375,0.27272727,0.55555556,4.273283881653223,3.645203031259248,3196
"Total","Ervin Santana","KCR",0.2,2,0,0,0,0,0,0,0,0.5,1.49999999,0.5,1,3.170034122467041,3.170034122467041,3200
"Total","Francisco Liriano","3 Tms",6,24,3,9,0.33333333,0,0.08333333,0.25,-0.16666667,0.25,1.66666667,0.25,0.2,5.5269701231362065,7.516176005089445,3201
"Total","Jean Machi","3 Tms",2,7,13.5,4.5,3,0,0.42857143,0.14285714,0.28571429,0,0.5,0,-1,1.6376014073289014,3.11327544794446,3220
"Total","T.J. McFarland","5 Tms",15,69,3.6,4.2,0.85714286,1.8,0.08695652,0.10144928,-0.01449275,0.355932203,1.86666667,0.34615385,0.04032258,6.57231209052353,5.260960302857082,3237
"Total","Zack Britton","2 Tms",2.2,9,6.75000002,0,2,0,0.22222222,0,0.22222222,0.125,0.375,0.14285714,1,1.6801742993576558,2.2995299627005883,3240
"Total","Roberto Hernandez","HOU",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,3273
