Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Marcus Walden","BOS",1,2,0,1,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,0.4412629008293152,8004
"Total","Dan Jennings","CHW",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8073
"Total","Bryan Shaw","CHW",1,0,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,8110
"Total","J.P. Howell","TOR",1,1,9,1,1,0,1,1,0,0,0,0,0,1,1,2,1.2321683168411255,8245
"Total","Tony Sipp","HOU",1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1.2321683168411255,8280
"Total","Lucas Luetge","NYY",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8337
"Total","Buddy Boshers","MIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8490
"Total","Dustin McGowan","MIA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8600
"Total","Matt Reynolds","ARI",1,1,9,1,0,0,1,1,1,0,0,0,0,1,1,4,2.0652942657470703,8887
"Total","Brad Hand","3 Tms",3,2,40.4999998,1,0,0,3,3,0,0,0,0,0,1,0.5,1,0.44041192531585693,9111
"Total","Alex Wilson","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9239
"Total","Rob Scahill","MIL",1,0,27,0,0,0,3,3,0,0,0,0,0,0,0,0,0,9286
"Total","Jared Hughes","2 Tms",2,3,0,0,0,0,0,0,0,1,0,0,2,0,0.333333333,0,0.23293709754943848,9325
"Total","Jeremy Jeffress","2 Tms",2,1,54.00000054,0,0,0,2,2,0,0,0,0,1,0,0,0,0,9490
"Total","Vidal Nuno","BAL",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8766688108444214,9674
"Total","Sergio Romo","2 Tms",2,3,0,1,0,0,0,0,0,0,0,0,2,0.333333333,0.333333333,0.333333333,0.29301844040552777,9817
"Total","Chaz Roe","ATL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9866
"Total","Travis Wood","CHC",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9884
"Total","Pedro Villarreal","CIN",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8808238506317139,9904
"Total","Bobby Parnell","NYM",1,0,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,9926
"Total","Tom Wilhelmsen","SEA",1,2,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.44041192531585693,9975
"Total","Ian Krol","ATL",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10066
"Total","Caleb Thielbar","MIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10078
