Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Brandon Gomes","TBR",5,4,18,1,0,0,2,2,0,0,0,0,1,0.25,0.25,0.25,0.22020596265792847,2267
"Total","Joel Peralta","2 Tms",4,5,6.74999997,1,0,0,1,1,0,0,0,0,2,0.2,0.2,0.2,0.17569082975387573,2332
"Total","Hector Rondon","3 Tms",50,63,8.21739131,15,1,0,19,14,3,3,1,0,17,0.25,0.285714285,0.416666666,0.29695975684350534,2391
"Total","Cory Rasmus","LAA",5,10,33.74999983,2,1,0,5,5,1,3,1,0,2,0.285714285,0.5,0.857142857,0.5153335995144315,2413
"Total","Corey Kluber","BOS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2429
"Total","Jhoulys Chacin","2 Tms",2,3,0,1,0,0,0,0,0,0,0,0,2,0.333333333,0.333333333,0.333333333,0.2946169376373291,2608
"Total","Scott Atchison","CLE",2,2,27.00000027,0,0,0,1,1,0,1,0,0,0,0,0.5,0,0.3434215188026428,2642
"Total","Brian Matusz","BAL",4,4,6.74999997,1,0,0,1,1,0,0,0,0,1,0.25,0.25,0.25,0.22020596265792847,2646
"Total","Brett Cecil","2 Tms",16,20,22.49999994,5,1,0,10,10,1,2,2,1,7,0.294117647,0.4,0.529411764,0.3688550425900353,2660
"Total","Joba Chamberlain","3 Tms",6,6,5.40000002,2,0,0,1,1,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0.29321299990018207,2692
"Total","Garrett Jones","NYY",1,2,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.35906514525413513,2714
"Total","Ross Detwiler","4 Tms",4,6,0,1,0,0,0,0,0,1,1,1,1,0.25,0.5,0.25,0.32055126428604125,2859
"Total","Santiago Casilla","2 Tms",63,80,4.57627119,12,2,0,10,10,1,9,3,1,17,0.171428571,0.275,0.242857142,0.22467830351420812,2873
"Total","Luis Avilan","3 Tms",10,11,10.12499999,2,1,0,3,3,0,1,1,0,4,0.2,0.272727272,0.3,0.21116990447044373,2882
"Total","Zach McAllister","2 Tms",15,18,8.10000001,4,1,0,5,3,0,2,2,0,2,0.25,0.333333333,0.3125,0.2426205351948738,2895
"Total","Jeff Locke","PIT",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2929
"Total","Josh Ravin","LAD",5,6,6.74999997,1,0,0,1,1,0,1,0,0,1,0.2,0.333333333,0.2,0.261905978123347,2951
"Total","Mitch Moreland","BOS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3086
"Total","Kenley Jansen","3 Tms",188,226,6.15789474,29,5,2,44,39,5,22,4,3,89,0.144278606,0.238938053,0.263681592,0.22054650762059666,3096
"Total","Tony Watson","3 Tms",26,31,8.59090908,5,1,0,8,7,2,2,1,2,5,0.185185185,0.29032258,0.444444444,0.30381275415420533,3132
"Total","Tim Collins","2 Tms",4,5,0,0,0,0,0,0,0,1,0,0,2,0,0.2,0,0.13805890083312988,3164
