Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Joba Chamberlain","3 Tms",8,31,1.2,0.153846153,0.461538461,0.384615384,0.1,0.3,0,0,0.38461538,0.34615385,0.26923077,0.26923077,0.46153846,0.26923077,2692
"Total","Jake Brigham","ATL",1,4,2,0,0.666666666,0.333333333,0,0,0,0,0.33333333,0,0.66666667,0.33333333,0.66666667,0,2851
"Total","Ross Detwiler","8 Tms",12,43,1.714285714,0.269230769,0.461538461,0.269230769,0.142857142,0.142857142,0.083333333,1,0.37037037,0.33333333,0.2962963,0.11111111,0.62962963,0.25925926,2859
"Total","Santiago Casilla","2 Tms",8,34,1.125,0.260869565,0.391304347,0.347826086,0,0,0,0,0.52173913,0.26086957,0.2173913,0.17391304,0.60869565,0.2173913,2873
"Total","Luis Avilan","6 Tms",20.2,90,0.74074074,0.241935483,0.322580645,0.43548387,0.185185185,0.222222222,0.25,0,0.47619048,0.25396825,0.26984127,0.23809524,0.41269841,0.34920635,2882
"Total","Zach McAllister","CLE",21.2,87,1.12,0.158730158,0.444444444,0.396825396,0.04,0.12,0.107142857,1,0.28125,0.453125,0.265625,0.140625,0.515625,0.34375,2895
"Total","Jeff Locke","PIT",0.2,2,1,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,1,0,2929
"Total","Josh Ravin","LAD",2.1,8,1.5,0,0.6,0.4,0,0,0,0,0.4,0.6,0,0.2,0.2,0.6,2951
"Total","Mitch Moreland","OAK",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3086
"Total","Kenley Jansen","3 Tms",9.1,39,0.461538461,0.173913043,0.260869565,0.565217391,0.153846153,0,0.166666666,0,0.34782609,0.34782609,0.30434783,0.34782609,0.39130435,0.26086957,3096
"Total","Tony Watson","4 Tms",78,308,1.324675324,0.182648401,0.465753424,0.351598173,0.116883116,0.129870129,0.049019607,0,0.35874439,0.34529148,0.29596413,0.20627803,0.5470852,0.24663677,3132
"Total","Tim Collins","2 Tms",2,8,1,0.428571428,0.285714285,0.285714285,0,0,0,0,0.85714286,0.14285714,0,0,0.28571429,0.71428571,3164
"Total","David Price","2 Tms",5.1,23,1.142857142,0.285714285,0.38095238,0.333333333,0,0.285714285,0.125,0,0.47619048,0.33333333,0.19047619,0.0952381,0.52380952,0.38095238,3184
"Total","Will Harris","2 Tms",36,137,2.636363636,0.175257731,0.597938144,0.226804123,0,0.09090909,0.034482758,1,0.43877551,0.30612245,0.25510204,0.16326531,0.48979592,0.34693878,3192
"Total","Chris Young","KCR",7.2,27,1.285714285,0.111111111,0.5,0.388888888,0,0,0,0,0.38888889,0.16666667,0.44444444,0.22222222,0.61111111,0.16666667,3196
"Total","Ervin Santana","KCR",3.2,14,6,0.142857142,0.857142857,0,0,0,0,0,0.71428571,0,0.28571429,0.28571429,0.28571429,0.42857143,3200
"Total","Francisco Liriano","2 Tms",7.2,29,1,0.176470588,0.411764705,0.411764705,0.285714285,0.142857142,0,0,0.35294118,0.47058824,0.17647059,0.17647059,0.58823529,0.23529412,3201
"Total","Tyler Ladendorf","OAK",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3211
"Total","Jean Machi","3 Tms",7.2,30,2,0.318181818,0.454545454,0.227272727,0,0,0.1,0,0.29166667,0.33333333,0.375,0.20833333,0.5,0.29166667,3220
"Total","T.J. McFarland","4 Tms",27,115,2.85,0.153846153,0.626373626,0.219780219,0.1,0.2,0.052631578,0,0.35164835,0.41758242,0.23076923,0.16483516,0.53846154,0.2967033,3237
"Total","Zack Britton","2 Tms",37.1,148,10,0.125,0.795454545,0.079545454,0,0.285714285,0.085714285,0,0.39772727,0.43181818,0.17045455,0.20454545,0.55681818,0.23863636,3240
"Total","Angel Castro","OAK",0.1,2,2,0,1,0,0,0,0,0,0,1,0,0.5,0.5,0,3243
"Total","Jordan Walden","STL",2.1,11,6,0.222222222,0.666666666,0.111111111,0,0,0,0,0.44444444,0.22222222,0.33333333,0.11111111,0.66666667,0.22222222,3271
"Total","Roberto Hernandez","HOU",1,5,2,0.4,0.4,0.2,0,0,0,0,0.6,0.4,0,0,0.4,0.6,3273
"Total","Joe Smith","7 Tms",50,202,2.111111111,0.2,0.542857142,0.257142857,0.111111111,0.166666666,0.118421052,0,0.44680851,0.33333333,0.21985816,0.22695035,0.45390071,0.31914894,3281
"Total","Nate Adcock","CIN",0.2,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,3282
"Total","Anibal Sanchez","2 Tms",3.1,18,0.857142857,0.071428571,0.428571428,0.5,0,0.285714285,0.166666666,0,0.28571429,0.42857143,0.28571429,0.14285714,0.57142857,0.28571429,3284
"Total","Hector Noesi","2 Tms",2.1,8,0.5,0,0.333333333,0.666666666,0,0,0,0,0.33333333,0.16666667,0.5,0.16666667,0.66666667,0.16666667,3292
