Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Chad Qualls","2 Tms",2,6,9,0,2,0,0.33333333,0,0.33333333,0.166666666,0.5,0.25,-2,1.1419236182981853,1.8797606386059647,2170
"Total","Blaine Boyer","4 Tms",8,26,4.5,0,4,0,0.15384615,0,0.15384615,0.25,0.75,0.27272727,-0.5,2.1463212092729123,3.5923835124211223,2237
"Total","Brandon Gomes","TBR",1.2,7,0,5.39999999,0,0,0,0.14285714,-0.14285714,0.4,1.8,0.33333333,1,4.9335937464,6.704402591597053,2267
"Total","Joel Peralta","3 Tms",0.1,4,0,27.00000027,0,27.00000027,0,0.25,-0.25,0.666666666,9.00000009,0.5,-0.625,51.144708486738466,20.998752428972264,2332
"Total","Hector Rondon","3 Tms",6.1,26,11.36842106,4.2631579,2.66666667,2.84210526,0.30769231,0.11538462,0.19230769,0.260869565,1.42105263,0.30769231,0.16129032,6.18930893606638,4.469569763926069,2391
"Total","Cory Rasmus","LAA",0.2,7,13.50000014,13.50000014,1,0,0.14285714,0.14285714,0,0.666666666,7.50000008,0.8,0,4.640077081421509,7.138478226710582,2413
"Total","Jhoulys Chacin","2 Tms",3.1,13,10.80000001,2.7,4,0,0.30769231,0.07692308,0.23076923,0.272727272,1.2,0.375,-0.75,1.6446454987387942,3.7322516388173517,2608
"Total","Scott Atchison","CLE",0,1,0,0,0,0,0,0,0,1,1,1,-2,3.13359375,3.13359375,2642
"Total","Brett Cecil","2 Tms",5.2,23,12.70588235,1.58823529,8,1.58823529,0.34782609,0.04347826,0.30434783,0.35,1.41176471,0.46153846,0,3.1499786320899705,2.9708320855440156,2660
"Total","Joba Chamberlain","2 Tms",1,3,18,0,2,0,0.66666667,0,0.66666667,0,0,0,1,-0.8577618280614328,-0.8577618280614328,2692
"Total","Jake Brigham","ATL",0.2,3,13.49999993,0,1,0,0.33333333,0,0.33333333,0.333333333,1.49999999,0.5,1,0.13359376500000053,0.13359376500000053,2851
"Total","Ross Detwiler","6 Tms",2.1,15,19.28571431,3.85714286,5,0,0.33333333,0.06666667,0.26666667,0.5,3.42857143,0.77777778,0,0.16766821726582348,0.8000999498616799,2859
"Total","Santiago Casilla","OAK",3,10,3,3,1,0,0.1,0.1,0,0.142857142,0.66666667,0.14285714,0,4.491593445675032,5.677464311655816,2873
"Total","Luis Avilan","5 Tms",8.1,28,3.24,4.32,0.75,1.08,0.10714286,0.14285714,-0.03571429,0.166666666,0.96,0.15,0.75757576,5.43822919934993,5.019316233229015,2882
"Total","Zach McAllister","2 Tms",2.2,15,3.375,0,1,10.12499999,0.06666667,0,0.06666667,0.466666666,2.625,0.36363636,-1.42857143,17.04830023526984,7.862998068376044,2895
"Total","Josh Ravin","LAD",0.2,5,27.00000027,13.50000014,2,0,0.4,0.2,0.2,0.5,4.50000005,1,0.66666667,1.645616707106934,1.645616707106934,2951
