Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Nick Hagadone","CLE",1.1,7,6.75000002,6.75000002,1,0,0.14285714,0.14285714,0,0.333333333,2.25000001,0.4,1,3.8835937518750008,4.990349285103559,1351
"Total","Andrew Bailey","3 Tms",2,14,4.50000002,18.00000009,0.25,4.50000002,0.07142857,0.28571429,-0.21428571,0.4,4.00000002,0.375,0.45454545,14.644399334879987,9.715036703975974,1368
"Total","Charlie Furbush","SEA",1,3,9,0,1,0,0.33333333,0,0.33333333,0,0,0,1,1.1335937500000002,2.609267790615559,1370
"Total","Joaquin Benoit","3 Tms",3.2,14,9.81818184,2.45454546,4,0,0.28571429,0.07142857,0.21428571,0.153846153,0.81818182,0.22222222,0.33333333,1.7860895342584524,3.14885378417533,1437
"Total","Jon Edwards","2 Tms",1.1,6,0,13.50000003,0,0,0,0.33333333,-0.33333333,0,1.5,0,1,7.653697692526222,10.252357640949471,1483
"Total","Oliver Perez","4 Tms",11,49,9.00000001,5.72727273,1.57142857,0.81818182,0.2244898,0.14285714,0.08163265,0.195121951,1.36363636,0.24137931,0.75342466,4.526391351368215,6.01637264436905,1514
"Total","Sean Doolittle","4 Tms",8,33,10.12500001,5.62500001,1.8,1.125,0.27272727,0.15151515,0.12121212,0.142857142,1.125,0.16666667,0,4.407685313165354,5.412682934780664,1581
"Total","Francisco Rodriguez","DET",1,3,9,0,1,0,0.33333333,0,0.33333333,0,0,0,1,1.1576396942138674,2.9364459931850435,1642
"Total","Javier Lopez","SFG",5.1,30,5.0625,13.50000001,0.375,0,0.1,0.26666667,-0.16666667,0.227272727,2.4375,0.26315789,0.53846154,6.513456239428545,7.691434285471881,1663
"Total","Chris Capuano","2 Tms",1.2,12,10.80000004,16.20000006,0.66666667,5.40000002,0.16666667,0.25,-0.08333333,0.555555555,4.80000002,0.66666667,-0.3030303,13.943967099489974,10.027452852559327,1701
"Total","Chin-hui Tsao","LAD",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,1776
"Total","Kevin Gregg","CIN",0.1,3,27.00000027,0,1,0,0.33333333,0,0.33333333,0.666666666,6.00000006,1,-0.5,-2.8664063100000003,-2.8664063100000003,1793
"Total","Neal Cotts","2 Tms",5,21,10.8,3.6,3,3.6,0.28571429,0.0952381,0.19047619,0.210526315,1.2,0.18181818,0.3125,7.13359375,3.7044025987386706,1797
"Total","Matt Belisle","3 Tms",7.1,37,9.81818181,8.59090908,1.14285714,0,0.21621622,0.18918919,0.02702703,0.3,2.18181818,0.40909091,0.6875,3.8337917711886207,5.942754634648396,1837
"Total","Edwin Jackson","6 Tms",3.1,14,10.80000004,2.70000001,4,2.70000001,0.28571429,0.07142857,0.21428571,0.23076923,1.2,0.25,0.38461538,5.554674825644005,4.107043247666533,1841
"Total","Ryan Madson","4 Tms",12.1,49,10.21621621,2.91891892,3.5,0,0.28571429,0.08163265,0.20408163,0.2,1.05405405,0.29032258,0.53846154,1.85004882367182,2.990314115467986,1852
"Total","Sean Burnett","WSN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,1886
"Total","Matt Moore","4 Tms",9.2,40,7.44827587,2.79310345,2.66666667,0.93103448,0.2,0.075,0.125,0.194444444,1.03448276,0.22222222,0.52083333,4.0992618945120665,4.357250182660927,1890
"Total","David Aardsma","ATL",1.2,8,16.19999997,5.39999999,3,0,0.375,0.125,0.25,0.285714285,1.8,0.5,0.66666667,1.3335937536000002,3.1044025987970527,1902
"Total","Jason Frasor","2 Tms",1.1,5,6.75000002,0,1,0,0.2,0,0.2,0.2,0.75,0.25,1,1.6335937462499996,3.8471048127071152,1906
"Total","Matt Thornton","2 Tms",4.1,21,4.15384616,4.15384616,1,0,0.0952381,0.0952381,0,0.315789473,1.84615385,0.35294118,0.625,3.598124511782643,4.279204838744501,1918
"Total","Zack Greinke","KCR",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.74495970050293,-2.74495970050293,1943
