Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Scott Atchison","CLE",1,5,2,0.4,0.4,0.2,0,0,0,0,0.6,0,0.4,0,0.6,0.4,2642
"Total","Brian Matusz","BAL",2.1,8,0.6,0,0.375,0.625,0.4,0,0,0,0.5,0.125,0.375,0.25,0.375,0.375,2646
"Total","Brett Cecil","2 Tms",10,43,1.363636363,0.212121212,0.454545454,0.333333333,0.181818181,0.181818181,0.066666666,0,0.54545455,0.36363636,0.09090909,0.12121212,0.42424242,0.45454545,2660
"Total","Joba Chamberlain","2 Tms",1,7,0.5,0.25,0.25,0.5,0,0.5,0,0,0.25,0.5,0.25,0,0.75,0.25,2692
"Total","Jake Brigham","ATL",1,10,1,0.5,0.25,0.25,0,0,0.5,0,0.125,0.25,0.625,0.25,0.375,0.375,2851
"Total","Ross Detwiler","7 Tms",6,21,2.5,0.066666666,0.666666666,0.266666666,0.25,0,0.1,0,0.6,0.2,0.2,0.26666667,0.73333333,0,2859
"Total","Santiago Casilla","OAK",3.2,15,2,0.4,0.4,0.2,0,0,0,0,0.2,0.6,0.2,0.6,0.2,0.2,2873
"Total","Luis Avilan","6 Tms",16.1,70,1.428571428,0.170731707,0.487804878,0.341463414,0,0.071428571,0.1,0,0.42857143,0.35714286,0.21428571,0.23809524,0.42857143,0.33333333,2882
"Total","Zach McAllister","CLE",11,49,0.888888888,0.346153846,0.307692307,0.346153846,0,0,0.125,0,0.19230769,0.38461538,0.42307692,0.11538462,0.57692308,0.30769231,2895
"Total","Jeff Locke","PIT",0.2,3,2,0,0.666666666,0.333333333,0,0,0,0,0.66666667,0,0.33333333,0,0.66666667,0.33333333,2929
"Total","Josh Ravin","LAD",1.1,11,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.66666667,0,0.33333333,0,0.33333333,0.66666667,2951
"Total","Kenley Jansen","LAD",0.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3096
"Total","Tony Watson","4 Tms",16.1,66,1.333333333,0.102564102,0.512820512,0.384615384,0.333333333,0.133333333,0,0,0.225,0.4,0.375,0.375,0.45,0.175,3132
"Total","Tim Collins","2 Tms",2.1,11,1.666666666,0.111111111,0.555555555,0.333333333,0,0.333333333,0,0,0.66666667,0.22222222,0.11111111,0.22222222,0.44444444,0.33333333,3164
"Total","David Price","2 Tms",5,22,1.4,0.2,0.466666666,0.333333333,0,0,0,0,0.33333333,0.4,0.26666667,0,0.66666667,0.33333333,3184
"Total","Will Harris","2 Tms",19.1,79,1.8,0.222222222,0.5,0.277777777,0,0.133333333,0,0,0.33333333,0.2962963,0.37037037,0.24074074,0.46296296,0.2962963,3192
"Total","Chris Young","KCR",4.1,18,1,0.272727272,0.363636363,0.363636363,0.5,0.25,0.25,0,0.63636364,0.18181818,0.18181818,0.45454545,0.18181818,0.36363636,3196
"Total","Ervin Santana","KCR",0.2,3,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,3200
"Total","Francisco Liriano","2 Tms",6,25,1,0.125,0.4375,0.4375,0,0.285714285,0,0,0.625,0.0625,0.3125,0.125,0.5,0.375,3201
"Total","Jean Machi","3 Tms",3.1,12,1,0,0.5,0.5,0,0,0,0,0.375,0.375,0.25,0.125,0.75,0.125,3220
"Total","T.J. McFarland","4 Tms",14,61,3.555555555,0.145833333,0.666666666,0.1875,0,0.111111111,0.0625,0,0.33333333,0.54166667,0.125,0.27083333,0.45833333,0.27083333,3237
"Total","Zack Britton","2 Tms",4.1,27,10,0.153846153,0.769230769,0.076923076,0,0,0.1,0,0.53846154,0.15384615,0.30769231,0.38461538,0.23076923,0.38461538,3240
"Total","Roberto Hernandez","HOU",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273
"Total","Joe Smith","7 Tms",15,64,2.272727272,0.162790697,0.581395348,0.255813953,0,0.09090909,0.04,0,0.44186047,0.34883721,0.20930233,0.18604651,0.55813953,0.25581395,3281
"Total","Nate Adcock","CIN",0.1,5,1,0,0.5,0.5,0,1,0,0,1,0,0,0.5,0,0.5,3282
"Total","Anibal Sanchez","2 Tms",2,8,1.5,0.166666666,0.5,0.333333333,0,0,0,0,0.33333333,0.5,0.16666667,0.16666667,0.5,0.33333333,3284
"Total","Hector Noesi","2 Tms",1,8,0,0.666666666,0,0.333333333,0.5,0,0,0,0,0.33333333,0.66666667,0.33333333,0.33333333,0.33333333,3292
"Total","Charlie Culberson","ATL",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3298
"Total","Chris Hatcher","2 Tms",6.2,35,0.666666666,0.130434782,0.347826086,0.52173913,0.083333333,0.333333333,0,0,0.52173913,0.2173913,0.26086957,0.08695652,0.43478261,0.47826087,3299
"Total","Darren O'Day","3 Tms",9.1,37,0.5,0.166666666,0.277777777,0.555555555,0.2,0,0.4,0,0.44444444,0.44444444,0.11111111,0.33333333,0.44444444,0.22222222,3321
"Total","Matt Garza","MIL",0.1,2,1,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,1,0,3340
"Total","Cesar Ramos","2 Tms",5,29,0.9,0.136363636,0.409090909,0.454545454,0,0.2,0,0,0.54545455,0.22727273,0.22727273,0.13636364,0.54545455,0.31818182,3357
"Total","Miguel Montero","CHC",0.1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3364
"Total","Ubaldo Jimenez","BAL",1,4,1,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0,1,0,3374
