Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Will Harris","HOU",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3192
"Total","Chris Young","KCR",0.1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,3196
"Total","T.J. McFarland","ARI",0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3237
"Total","Joe Smith","2 Tms",0.2,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,3281
"Total","Chris Hatcher","LAD",0.1,4,0,1,0,0,0,0,0,0,0,1,0,0,0.5,0.5,3299
"Total","Darren O'Day","2 Tms",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3321
"Total","Cesar Ramos","LAA",0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3357
"Total","Jumbo Diaz","TBR",0.1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3397
"Total","Andre Rienzo","MIA",0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3507
"Total","Liam Hendriks","OAK",0.2,2,1,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,3548
"Total","Matt Magill","2 Tms",1,5,2,0.333333333,0.666666666,0,0,0,0,0,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,3950
"Total","Enny Romero","TBR",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4001
"Total","Pedro Strop","CHC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070
"Total","Junichi Tazawa","BOS",0,2,1,0,0.5,0.5,0,0,1,0,0.5,0.5,0,0,0.5,0.5,4079
"Total","Luke Gregerson","HOU",0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,4090
"Total","Derek Holland","SFG",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4141
"Total","Edward Paredes","LAD",0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,4168
"Total","David Hernandez","CIN",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4259
"Total","Matt Albers","WSN",0.2,2,2,0,1,0,0,0,0.5,0,0,0,1,0,0.5,0.5,4300
"Total","Justin Wilson","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4301
"Total","Jason Hammel","KCR",0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4538
"Total","Chris Smith","OAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4544
"Total","Joe Thatcher","HOU",0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4620
"Total","Vinnie Pestano","LAA",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4782
"Total","Rich Hill","SDP",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4806
"Total","Justin De Fratus","PHI",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4955
"Total","Fernando Abad","2 Tms",0.2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4994
"Total","Jake Diekman","4 Tms",1.2,3,3,0,1,0,0,0,0,0,0.66666667,0.33333333,0,0.33333333,0.33333333,0.33333333,5003
"Total","Josh Fields","HOU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5070
"Total","Jeurys Familia","OAK",0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5114
"Total","Wade LeBlanc","PIT",0,2,2,0,1,0,0,0,0.5,0,1,0,0,0.5,0.5,0,5221
"Total","Jose Alvarez","LAA",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5358
"Total","Manny Banuelos","NYY",0.1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,5365
"Total","Pedro Baez","LAD",0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,5420
"Total","Jesse Chavez","2 Tms",0.1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5448
"Total","Dana Eveland","TBR",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5508
"Total","Boone Logan","COL",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5525
"Total","Phil Coke","NYY",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,5535
"Total","Ryan Brasier","LAD",0.1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,5615
"Total","Tyler Clippard","MIN",0.1,2,2,0,1,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,5640
"Total","Brooks Brown","COL",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5679
"Total","Junior Guerra","ARI",0.1,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,5702
"Total","Eric O'Flaherty","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5746
"Total","Bruce Rondon","CHW",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5766
"Total","Randall Delgado","ARI",0.1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5985
"Total","Kelvin Herrera","KCR",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,6033
"Total","Dellin Betances","NYY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6216
"Total","Tom Gorzelanny","DET",0.1,2,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0.5,0.5,6244
"Total","Scott Feldman","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6283
"Total","David Phelps","MIA",0.2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,6316
"Total","Al Alburquerque","DET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6324
"Total","Chris Archer","TBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6345
"Total","Jose Cisnero","DET",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,6399
"Total","Steve Cishek","2 Tms",1,4,2,0.333333333,0.666666666,0,0,0,0,0,0.33333333,0,0.66666667,0,1,0,6483
"Total","Blaine Hardy","DET",0.2,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,6499
"Total","Marc Rzepczynski","SDP",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,6612
"Total","Brad Brach","BAL",0.2,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,6627
"Total","Alex Colome","TBR",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,6661
"Total","Andrew Miller","2 Tms",0.2,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,6785
"Total","Robbie Ross Jr.","BOS",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6819
"Total","Sam Freeman","2 Tms",0.2,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,6832
"Total","Jeff Manship","CLE",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6865
"Total","Martin Perez","MIN",0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,6902
"Total","Joakim Soria","KCR",0.2,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,6941
"Total","Luke Hochevar","KCR",0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,6943
"Total","Luis Garcia","2 Tms",0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,6984
"Total","Ryan Pressly","2 Tms",0.1,3,2,0,1,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0.5,7005
"Total","Alex Torres","NYM",0.2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,7038
"Total","Fernando Cruz","CIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7048
"Total","Chris Withrow","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7161
"Total","Nick Masset","MIA",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,7267
"Total","Craig Stammen","SDP",1,2,2,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,7274
"Total","Brad Ziegler","MIA",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,7293
"Total","Casey Janssen","WSN",0.1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7355
"Total","Dan Otero","CLE",0.2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7385
"Total","Jay Jackson","2 Tms",0.1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7432
"Total","Anthony Swarzak","NYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7466
"Total","Ryan Webb","CLE",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,7474
"Total","Collin McHugh","2 Tms",0.2,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,7531
"Total","Jake McGee","COL",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7550
"Total","Neil Ramirez","TOR",0.1,2,1,0,0.5,0.5,0,0,0,0,1,0,0,0,0.5,0.5,7677
"Total","Juan Nicasio","PIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7731
"Total","Wily Peralta","KCR",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7738
"Total","Mike Fiers","HOU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7754
"Total","Shawn Kelley","WSN",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7773
"Total","Richard Bleier","BAL",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,7803
"Total","Hunter Strickland","WSN",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7836
"Total","Jerry Blevins","NYM",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7841
"Total","Josh Lindblom","2 Tms",0.2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7882
"Total","Cory Gearrin","SEA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7947
"Total","Anthony Bass","3 Tms",1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,7982
"Total","Will Smith","HOU",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8048
"Total","Dan Jennings","2 Tms",0.1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,8073
"Total","Bryan Shaw","2 Tms",1,3,2,0,0.666666666,0.333333333,0,0,0,0,0.66666667,0,0.33333333,0,1,0,8110
"Total","David Robertson","NYY",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,8241
"Total","J.P. Howell","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8245
"Total","Tony Sipp","HOU",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8280
"Total","Lucas Luetge","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8337
"Total","Deolis Guerra","LAA",0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,8410
"Total","Michael Brady","OAK",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,8461
"Total","Justin Miller","COL",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,8580
"Total","Adam Warren","NYY",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,9029
"Total","Jeanmar Gomez","2 Tms",0.1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,9033
"Total","John Axford","2 Tms",0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,9059
"Total","Jeremy Bleich","OAK",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,9069
"Total","Kirby Yates","NYY",0.2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,9073
"Total","Koji Uehara","CHC",0.2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,9227
"Total","Alex Wilson","DET",0.2,5,1,0.5,0.25,0.25,0,0,0,0,0.25,0.5,0.25,0,0.25,0.75,9239
"Total","Buddy Baumann","SDP",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,9309
"Total","Jared Hughes","PIT",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,9325
"Total","Zac Rosscup","2 Tms",0.1,2,1,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0,1,9419
"Total","Doug Fister","WSN",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9425
"Total","Dallas Keuchel","MIN",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,9434
"Total","Ryan Buchter","OAK",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,9456
"Total","Jeremy Jeffress","MIL",1,2,2,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,9490
"Total","Michael Blazek","MIL",0.1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,9654
"Total","Mike Zagurski","MIL",0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,9683
"Total","Joe Kelly","3 Tms",0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9761
"Total","Rex Brothers","ATL",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,9794
"Total","Chris Rusin","COL",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,9895
"Total","Chris Volstad","CHW",0.1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,9901
"Total","Brandon Kintzler","2 Tms",0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,9939
"Total","Mike Dunn","MIA",0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9948
"Total","Tom Wilhelmsen","SEA",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,9975
"Total","Mike Minor","KCR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10021
"Total","Ian Krol","ATL",0.1,3,1,0.666666666,0.333333333,0,0,0,0,0,0,0.66666667,0.33333333,0,1,0,10066
"Total","Caleb Cotham","CIN",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,10075
"Total","Brad Boxberger","2 Tms",0.2,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10133
"Total","Ryan Weber","NYY",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,10160
"Total","Aroldis Chapman","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10233
"Total","Alexi Ogando","BOS",0.1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10261
"Total","Ryan Tepera","CHC",0.1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,10291
"Total","Aaron Loup","TOR",0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10343
"Total","Robbie Erlin","SDP",0.2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,10354
"Total","Mychal Givens","3 Tms",1.1,8,0,0.2,0,0.8,0,0,0,0,0,0.6,0.4,0.2,0.4,0.4,10430
"Total","Hunter Cervenka","MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10510
"Total","Jake Petricka","CHW",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10534
"Total","Scott Alexander","2 Tms",0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10591
"Total","Adam Liberatore","LAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10637
"Total","Andrew Bellatti","PHI",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,10657
"Total","Trevor Rosenthal","WSN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10745
"Total","Shane Greene","DET",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10756
"Total","Michael Mariot","PHI",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10835
"Total","Christian Bergman","2 Tms",0.2,2,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1,10925
"Total","Josh A. Smith","OAK",0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10946
"Total","Kevin Shackelford","CIN",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11012
"Total","Rob Rasmussen","SEA",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,11250
"Total","Tyler Lyons","STL",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,11334
"Total","Tommy Kahnle","NYY",0.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11384
"Total","Drew Pomeranz","2 Tms",0.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11426
"Total","Jesse Biddle","2 Tms",0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,11437
"Total","Matt Grace","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11449
"Total","Sammy Solis","WSN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11457
"Total","Bryan Mitchell","NYY",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,11479
"Total","Joely Rodriguez","BOS",0.1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,11487
"Total","Brandon Cunniff","ATL",0.2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,11509
"Total","Josh Osich","CHC",0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,11528
"Total","Dayan Diaz","CIN",0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,11543
"Total","Heath Hembree","BOS",0,2,1,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,1,11632
"Total","Tayron Guerrero","MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11691
"Total","Sam Dyson","SFG",0.2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,11710
"Total","Erik Goeddel","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11712
"Total","Justin Grimm","2 Tms",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,11720
"Total","Luke Jackson","ATL",0.1,3,2,0,0.666666666,0.333333333,0,1,0,0,0.66666667,0.33333333,0,0.33333333,0,0.66666667,11752
"Total","Kyle Ryan","DET",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11753
"Total","Hansel Robles","2 Tms",2,8,0,0.333333333,0,0.666666666,0.5,0,0,0,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,11801
"Total","Hector Neris","HOU",0.1,2,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0.5,11804
"Total","Jason Adam","TOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11861
"Total","Michael Feliz","PIT",0.1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,11903
"Total","David Rollins","SEA",0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,11928
"Total","Matt Andriese","ARI",0,3,0,0.666666666,0,0.333333333,0,1,0,0,0.66666667,0.33333333,0,0,0.33333333,0.66666667,12022
"Total","Brian Flynn","KCR",0.1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,12027
"Total","Yimi Garcia","TOR",0.1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,12095
"Total","Matt Stites","ARI",0.1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,12165
"Total","Domingo Tapia","2 Tms",1.1,2,2,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,12178
"Total","Keith Hessler","ARI",0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,12220
"Total","Dan Winkler","CHC",0.2,4,2,0.333333333,0.666666666,0,0,0,0,0,0.66666667,0,0.33333333,0.33333333,0.33333333,0.33333333,12237
"Total","Evan Marshall","CHW",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,12297
"Total","Jacob Barnes","2 Tms",0.1,6,0.5,0.4,0.2,0.4,0,0.5,1,0,0.8,0.2,0,0.2,0.4,0.4,12323
"Total","Kevin Quackenbush","SDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12360
"Total","Seth Lugo","NYM",0.1,3,1,0.666666666,0.333333333,0,0,0,1,0,0.33333333,0,0.66666667,0,1,0,12447
"Total","Tony Cingrani","CIN",0.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12555
"Total","Blake Treinen","3 Tms",1.2,5,3,0,1,0,0,0,0,0,0.66666667,0.33333333,0,0.33333333,0.33333333,0.33333333,12572
"Total","Nick Ramirez","DET",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,12575
"Total","Adam Morgan","PHI",0.2,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,12580
"Total","Nick Martinez","SDP",0,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,12730
"Total","Chris Devenski","HOU",0.1,2,0,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,12763
"Total","Burch Smith","MIL",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,12784
"Total","Elvis Araujo","PHI",0.2,2,1,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0,1,0,12854
"Total","Shawn Armstrong","BAL",0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,12857
"Total","Matt Barnes","BOS",0.1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,12863
"Total","Tyler Anderson","SFG",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,12880
"Total","Alex Claudio","TEX",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,12890
"Total","Archie Bradley","PHI",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12918
"Total","Mauricio Cabrera","ATL",0.1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,12975
"Total","Andrew Chafin","2 Tms",0.2,3,2,0,0.666666666,0.333333333,0,0,0,0,0.33333333,0.33333333,0.33333333,0.33333333,0.66666667,0,12988
"Total","Colten Brewer","SDP",0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,12997
"Total","Robby Scott","BOS",0.2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,13042
"Total","Reymin Guduan","HOU",0.1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,13058
"Total","Derek Law","CIN",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,13133
"Total","Frank Garces","SDP",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,13144
"Total","Kyle Crick","PIT",0.1,2,2,0,1,0,0,0,0.5,0,0,0.5,0.5,1,0,0,13182
"Total","Michael Fulmer","CHC",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13218
"Total","Matt Carasiti","COL",0.2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,13276
"Total","Jake Barrett","ARI",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,13322
"Total","Cam Bedrosian","LAA",0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,13360
"Total","Dylan Floro","3 Tms",0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13394
"Total","Sam Selman","LAA",0.1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,13397
"Total","Chris Beck","CHW",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,13418
"Total","Drew VerHagen","2 Tms",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13424
"Total","Mike Morin","2 Tms",0.1,2,1,0,0.5,0.5,0,0,1,0,1,0,0,0,1,0,13442
"Total","Eddie Butler","CHC",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13453
"Total","Lucas Sims","CIN",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,13470
"Total","Matt Bowman","STL",1.1,3,2,0.333333333,0.666666666,0,0,0,0,0,0.66666667,0.33333333,0,0.33333333,0.66666667,0,13528
"Total","Andrew Triggs","SFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13533
"Total","Richard Rodriguez","PIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13549
"Total","Steven Okert","SFG",0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,13580
"Total","Robert Stephenson","2 Tms",0.2,4,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.33333333,0,0.66666667,0,0.66666667,0.33333333,13594
"Total","Chad Smith","OAK",0.1,2,1,0.5,0.5,0,0,0,0,0,0,0,1,0.5,0.5,0,13604
"Total","Carl Edwards Jr.","WSN",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13607
"Total","Clay Holmes","PIT",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13649
"Total","Jharel Cotton","TEX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13654
"Total","John Gant","2 Tms",0.2,4,2,0,1,0,0,0,0.5,0,0.5,0,0.5,0,1,0,13684
"Total","Sal Romano","CIN",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13690
"Total","Jake Faria","ARI",0.1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,13699
"Total","Tyler Duffey","MIN",0.1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,13758
"Total","Chris Stratton","2 Tms",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,13761
