Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Dan Otero","CLE",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,7385
"Total","Jay Jackson","2 Tms",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1427038430484346,3.1427038430484346,7432
"Total","Anthony Swarzak","NYM",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1604315757751467,3.1604315757751467,7466
"Total","Ryan Webb","CLE",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,7474
"Total","Collin McHugh","2 Tms",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.23452488760253853,0.23452488760253853,7531
"Total","Jake McGee","COL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.160431575775147,8.115276919679946,7550
"Total","Neil Ramirez","TOR",0.1,2,0,0,0,0,0,0,0,1,6.00000006,1,1,3.2140094757080084,9.181627181243904,7677
"Total","Juan Nicasio","PIT",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,7731
"Total","Wily Peralta","KCR",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.785990584291992,-2.785990584291992,7738
"Total","Mike Fiers","HOU",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,7754
"Total","Shawn Kelley","WSN",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8534396771569823,-2.8534396771569823,7773
"Total","Richard Bleier","BAL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,8.494058644491584,7803
"Total","Hunter Strickland","WSN",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.785990584291992,-2.785990584291992,7836
"Total","Jerry Blevins","NYM",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,8.143362673421164,7841
"Total","Josh Lindblom","2 Tms",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.16383687834045357,2.8103800946891178,7882
"Total","Cory Gearrin","SEA",0,1,0,0,0,0,0,0,0,0,0,0,-2,6.214009475708008,6.214009475708008,7947
"Total","Anthony Bass","3 Tms",1,2,9,0,1,0,0.5,0,0.5,0,0,0,1,1.1907899300610079,1.1907899300610079,7982
