Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Nate Jones","2 Tms",0.1,2,27.00000027,0,1,0,0.5,0,0.5,0.5,3.00000003,1,-1,-2.8029332046117537,-2.8029332046117537,4696
"Total","Mike Montgomery","2 Tms",1,2,9,0,1,0,0.5,0,0.5,0,0,0,1,1.15025348659637,1.15025348659637,4869
"Total","Peter Moylan","2 Tms",0.2,4,0,13.50000014,0,0,0,0.25,-0.25,0.5,3.00000003,0.33333333,-0.5,7.655982253261898,10.154383398550973,4891
"Total","Justin De Fratus","PHI",1,2,0,0,0,0,0,0,0,0,0,0,1,3.13359375,4.609267790615559,4955
"Total","Fernando Salas","3 Tms",1.1,4,0,0,0,0,0,0,0,0,0,0,1,3.146549211233569,6.873172427880831,4971
"Total","Fernando Abad","2 Tms",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8189720993051712,-2.8189720993051712,4994
"Total","Jake Diekman","3 Tms",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.142346811115061,6.12615566388301,5003
"Total","Dale Thayer","SDP",0.1,2,0,0,0,27.00000027,0,0,0,0.5,3.00000003,0,5,42.13359414000001,11.987638082233797,5032
"Total","Josh Fields","2 Tms",0.1,2,27.00000027,0,1,0,0.5,0,0.5,0.5,3.00000003,1,-2,-2.86039482399162,-2.86039482399162,5070
"Total","Jeurys Familia","NYM",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1700341224670407,8.46312055516437,5114
"Total","Wade LeBlanc","2 Tms",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1999170304401656,8.536335980717883,5221
"Total","Wilmer Font","TOR",0,1,0,0,0,0,0,0,0,1,1,1,-3,3.191419315338135,3.191419315338135,5257
"Total","Jose Alvarez","3 Tms",2.1,6,0,3.85714286,0,0,0,0.16666667,-0.16666667,0.25,0.85714286,0.2,-1.5,4.4492628047373355,5.301779612506605,5358
"Total","Manny Banuelos","PIT",0.1,3,27.00000027,27.00000027,1,0,0.33333333,0.33333333,0,0.5,6.00000006,1,1,6.112431031663208,6.112431031663208,5365
"Total","Brad Peacock","HOU",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8395684842248534,-2.8395684842248534,5401
"Total","Pedro Baez","LAD",1.1,4,0,0,0,0,0,0,0,0,0,0,1,3.156939339462665,4.406139902738197,5420
