Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Dale Thayer","SDP",2,2,81.00000081,1,0,0,3,3,1,0,0,0,0,0.5,0.5,2,1.0326471328735352,5032
"Total","Josh Fields","2 Tms",2,2,81.00000081,1,0,0,3,3,0,0,0,0,1,0.5,0.5,0.5,0.44041192531585693,5070
"Total","Jeurys Familia","NYM",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5114
"Total","Wade LeBlanc","2 Tms",2,1,27.00000027,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5221
"Total","Wilmer Font","TOR",1,1,36,1,0,0,4,4,0,0,0,0,0,1,1,1,0.8825258016586304,5257
"Total","Jose Alvarez","3 Tms",6,6,19.28571431,1,0,1,5,5,0,1,0,0,0,0.25,0.333333333,0.75,0.376459668080012,5358
"Total","Manny Banuelos","PIT",1,3,0,1,0,0,0,0,0,1,0,0,1,0.5,0.666666666,0.5,0.5241982539494833,5365
"Total","Brad Peacock","HOU",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5401
"Total","Pedro Baez","LAD",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5420
"Total","Jesse Chavez","4 Tms",5,5,5.40000002,1,0,0,1,1,1,0,0,0,2,0.2,0.2,0.8,0.4029517650604248,5448
"Total","Boone Logan","CLE",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8766688108444214,5525
"Total","Ryan Brasier","2 Tms",3,3,13.49999993,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5615
"Total","Tyler Clippard","HOU",1,1,27,0,0,0,3,3,0,1,0,0,0,0,1,0,0.6929940581321716,5640
"Total","Junior Guerra","2 Tms",2,3,0,0,0,0,0,0,0,1,0,0,1,0,0.333333333,0,0.23009816805521646,5702
"Total","Eric O'Flaherty","ATL",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8784541487693787,5746
"Total","Bruce Rondon","CHW",2,2,81.00000081,1,1,0,3,3,0,0,0,0,0,0.5,0.5,1,0.6236374378204346,5766
"Total","Jhan Marinez","PIT",1,2,0,1,1,0,0,0,0,0,0,1,0,1,1,2,0.9773936569690704,5830
"Total","Jason Motte","ATL",1,2,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0.7848314344882965,5861
