Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Joaquin Benoit","4 Tms",4,15,11.25000003,4.50000001,2.5,0,0.33333333,0.13333333,0.2,0,0.5,0,1,2.145931273185629,3.4042529359709106,1437
"Total","Jon Edwards","2 Tms",1.2,7,10.80000004,5.40000002,2,0,0.28571429,0.14285714,0.14285714,0.166666666,1.2,0.25,1,2.5872107483406266,4.9742578162327025,1483
"Total","Oliver Perez","4 Tms",4,17,6.75000002,4.50000001,1.5,0,0.17647059,0.11764706,0.05882353,0.2,1.25,0.25,1,3.150202067628627,5.306994346765548,1514
"Total","David Ross","CHC",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1551
"Total","Sean Doolittle","4 Tms",27.2,118,13.3373494,1.30120482,10.25,1.30120482,0.34745763,0.03389831,0.31355932,0.241071428,1.12048193,0.34328358,1,2.7420880375622914,3.1676524968004314,1581
"Total","Francisco Rodriguez","2 Tms",22,89,7.77272727,2.86363636,2.71428571,1.22727273,0.21348315,0.07865169,0.13483146,0.195121951,1.04545455,0.21666667,1,4.141898728865597,3.346415428911226,1642
"Total","Javier Lopez","SFG",2,9,18,4.5,4,0,0.44444444,0.11111111,0.33333333,0.25,1.5,0.5,1,0.6379159609692842,0.6379159609692842,1663
"Total","Chris Capuano","2 Tms",1.1,5,6.75000002,0,1,0,0.2,0,0.2,0.2,0.75,0.25,1,1.6368354044364415,3.9927915009405313,1701
"Total","Kevin Gregg","CIN",0,1,0,9,0,0,0,1,-1,0,1,0,1,6.13359375,6.13359375,1793
"Total","Neal Cotts","2 Tms",2,11,9,9,1,4.5,0.18181818,0.18181818,0,0.333333333,2.5,0.33333333,1,10.63359375,4.871430770307779,1797
"Total","Matt Belisle","4 Tms",8.1,27,7.56,2.16,3.5,0,0.25925926,0.07407407,0.18518519,0,0.24,0,1,2.1909858509000637,3.3701270342711953,1837
"Total","Edwin Jackson","3 Tms",1,6,18,9,2,0,0.33333333,0.16666667,0.16666667,0.2,2,0.33333333,0.5,2.1422381718953454,3.8078389187653863,1841
"Total","Ryan Madson","4 Tms",12.1,49,11.67567567,0,16,0,0.32653061,0,0.32653061,0.244897959,0.97297297,0.36363636,1,0.5531867907959769,1.3480795829310963,1852
