Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Adam Loewen","ARI",1,0,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2134
"Total","David Peralta","ARI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2136
"Total","Hector Rondon","2 Tms",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2391
"Total","Cory Rasmus","LAA",1,1,27,1,1,0,3,3,0,0,0,0,0,1,1,2,1.242019534111023,2413
"Total","Brett Cecil","2 Tms",2,2,54.00000054,1,0,0,2,2,0,0,0,0,0,0.5,0.5,0.5,0.44041192531585693,2660
"Total","Ross Detwiler","CIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2859
"Total","Santiago Casilla","2 Tms",4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2873
"Total","Kenley Jansen","3 Tms",18,18,20.76923079,3,0,0,12,10,1,2,0,0,9,0.1875,0.277777777,0.375,0.28220321072472465,3096
"Total","Tony Watson","2 Tms",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3132
"Total","Will Harris","HOU",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3192
"Total","Jean Machi","2 Tms",2,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3220
"Total","T.J. McFarland","ARI",3,3,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.23009816805521646,3237
"Total","Zack Britton","2 Tms",6,7,5.40000002,1,0,0,2,1,0,1,0,0,0,0.166666666,0.285714285,0.166666666,0.22433620691299438,3240
"Total","Jordan Walden","STL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3271
"Total","Joe Smith","2 Tms",4,4,40.50000041,2,0,0,3,3,0,0,0,0,0,0.5,0.5,0.5,0.43981949985027313,3281
"Total","Charlie Culberson","ATL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3298
"Total","Chris Hatcher","LAD",2,3,81.00000081,2,1,0,3,3,0,0,0,0,0,0.666666666,0.666666666,1,0.7123647928237915,3299
"Total","Darren O'Day","BAL",2,1,54.00000054,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3321
"Total","Cesar Ramos","LAA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3357
"Total","Jumbo Diaz","CIN",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3397
"Total","Drew Butera","KCR",2,5,27.00000027,1,0,0,2,2,0,2,0,0,0,0.333333333,0.6,0.333333333,0.4517179846763611,3411
"Total","Danny Duffy","KCR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3542
"Total","Liam Hendriks","2 Tms",7,7,9,1,0,0,2,2,1,0,0,0,4,0.142857142,0.142857142,0.571428571,0.29600020817347933,3548
"Total","Tony Barnette","TEX",1,2,27.00000027,0,0,0,1,1,0,1,0,0,0,0,0.5,0,0.3464970290660858,3555
"Total","Jim Johnson","ATL",2,2,54.00000054,1,0,0,2,2,0,0,0,0,0,0.5,0.5,0.5,0.4383344054222107,3656
"Total","Zach Duke","CHW",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3840
"Total","Gavin Floyd","TOR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3886
"Total","Allen Webster","2 Tms",2,4,54.00000054,2,0,0,6,2,1,1,0,0,0,0.666666666,0.75,1.666666666,0.9062990099191666,3993
"Total","Enny Romero","WSN",2,2,0,1,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,0.4383344054222107,4001
"Total","Steve Johnson","SEA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4053
"Total","Brian Duensing","MIN",2,1,54.00000054,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4064
"Total","Pedro Strop","CHC",3,3,13.50000014,1,1,0,1,1,0,0,0,0,2,0.333333333,0.333333333,0.666666666,0.4107227722803752,4070
"Total","Junichi Tazawa","BOS",1,2,108.00000108,2,1,0,4,4,0,0,0,0,0,1,1,1.5,1.0685471892356873,4079
