Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Zach Duke","2 Tms",2,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3464970290660858,3840
"Total","Gavin Floyd","TOR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3886
"Total","Matt Magill","SEA",1,1,9,1,0,0,1,1,0,0,0,0,0,1,1,1,0.8696072697639465,3950
"Total","Edinson Volquez","TEX",1,0,27,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3990
"Total","Allen Webster","CHC",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3993
"Total","Enny Romero","WSN",2,2,27.00000027,1,0,0,1,1,0,0,0,0,0,0.5,0.5,0.5,0.4383344054222107,4001
"Total","Yusmeiro Petit","LAA",1,0,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4020
"Total","Brian Duensing","2 Tms",3,2,27,1,0,0,3,3,0,0,0,1,0,1,1,1,0.798830509185791,4064
"Total","Pedro Strop","CHC",3,2,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4070
"Total","Luke Gregerson","HOU",4,4,27,1,1,0,4,3,0,0,0,0,0,0.25,0.25,0.5,0.31050488352775574,4090
"Total","Carlos Villanueva","SDP",1,1,9,1,0,0,1,1,0,0,0,0,0,1,1,1,0.8784541487693787,4138
"Total","Derek Holland","CHC",1,1,9,1,0,0,1,1,1,0,0,0,0,1,1,4,1.9395360946655273,4141
"Total","David Hernandez","PHI",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4259
"Total","Mark Melancon","3 Tms",9,9,38.57142863,3,0,0,10,10,0,0,0,0,1,0.428571428,0.333333333,0.428571428,0.292887098259396,4264
"Total","Matt Albers","MIL",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4300
"Total","Justin Wilson","CHC",2,0,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4301
"Total","Craig Breslow","2 Tms",2,3,0,1,0,0,0,0,0,0,0,0,0,0.5,0.333333333,0.5,0.29222293694814044,4363
"Total","Jason Hammel","KCR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4538
"Total","Nate Jones","CHW",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4696
"Total","Brandon Maurer","2 Tms",2,2,13.50000014,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4878
"Total","Peter Moylan","2 Tms",2,2,9,1,0,0,1,1,0,0,0,0,0,0.5,0.5,0.5,0.4383344054222107,4891
"Total","Fernando Salas","LAA",2,2,54.00000054,0,0,0,2,2,0,1,0,0,0,0,0.5,0,0.3434215188026428,4971
"Total","Fernando Abad","3 Tms",3,1,81.00000081,0,0,0,3,3,0,0,0,0,1,0,0,0,0,4994
"Total","Jake Diekman","5 Tms",6,5,94.50000095,2,0,0,7,7,1,0,0,1,1,0.5,0.6,1.25,0.733407199382782,5003
"Total","Jeurys Familia","3 Tms",16,16,36.81818189,3,1,0,15,15,0,3,0,0,4,0.25,0.375,0.333333333,0.31673945114016533,5114
"Total","Kelvin Marte","PIT",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5200
"Total","Alex Gordon","KCR",1,2,54.00000054,1,0,0,2,2,0,0,0,0,0,1,0.5,1,0.43480363488197327,5209
"Total","Blake Parker","3 Tms",3,3,9,1,0,0,1,1,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0.29301844040552777,5224
"Total","Jose Alvarez","LAA",3,4,13.50000014,1,0,0,3,1,0,0,0,0,1,0.25,0.25,0.25,0.21916720271110535,5358
"Total","Jesse Chavez","3 Tms",5,5,13.50000003,1,0,0,2,2,1,0,0,0,2,0.25,0.2,1,0.39582366943359376,5448
"Total","Arodys Vizcaino","ATL",4,2,27.00000027,0,0,0,3,2,0,0,0,0,0,0,0,0,0,5498
"Total","Boone Logan","2 Tms",3,3,40.50000041,1,1,0,3,3,0,0,0,0,0,0.333333333,0.333333333,0.666666666,0.414006511370341,5525
"Total","Arnold Leon","OAK",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5595
"Total","Tyler Clippard","6 Tms",7,9,60.75000061,4,1,0,9,9,0,1,0,0,1,0.571428571,0.555555555,0.714285714,0.5094388061099582,5640
"Total","Junior Guerra","LAA",1,2,27.00000027,0,0,0,1,1,0,1,0,0,0,0,0.5,0,0.34585827589035034,5702
"Total","Bruce Rondon","DET",5,4,121.49999939,1,1,0,9,9,0,0,0,0,0,0.5,0.25,1,0.31406763195991516,5766
"Total","Jhan Marinez","BAL",2,3,18,0,0,0,2,2,0,1,0,0,0,0,0.333333333,0,0.22984319925308228,5830
"Total","Jason Motte","2 Tms",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5861
"Total","Jonathan Papelbon","WSN",4,2,27.00000027,1,1,0,2,1,0,0,0,0,1,0.5,0.5,1,0.6210097670555115,5975
"Total","Kelvin Herrera","2 Tms",3,2,27.00000027,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6033
"Total","Huascar Brazoban","MIA",1,1,9,1,0,0,1,1,0,0,0,0,0,1,1,1,0.8825362920761108,6107
"Total","Eduardo Escobar","LAA",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6153
"Total","Dellin Betances","NYY",9,8,27,1,0,0,7,6,0,1,0,0,2,0.142857142,0.25,0.142857142,0.1964310258626938,6216
"Total","Tom Gorzelanny","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6244
"Total","Trevor Cahill","LAA",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6249
"Total","Scott Feldman","TOR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6283
"Total","David Phelps","2 Tms",3,4,0,1,0,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.22020596265792847,6316
"Total","Trevor May","OAK",3,4,18,1,0,0,2,2,0,0,0,0,1,0.333333333,0.25,0.333333333,0.2206340730190277,6398
"Total","Tim Stauffer","MIN",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6432
"Total","Vance Worley","MIA",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6435
"Total","Kevin Jepsen","3 Tms",3,3,27.00000027,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6475
"Total","Steve Cishek","5 Tms",8,8,63.00000063,5,1,0,7,7,0,0,0,0,2,0.625,0.625,0.75,0.596781812608242,6483
"Total","Marc Rzepczynski","SEA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6612
"Total","Brad Brach","BAL",3,4,108.00000108,3,0,0,5,4,0,0,0,0,0,1,0.75,1,0.6582170873880386,6627
"Total","Craig Kimbrel","6 Tms",10,11,42.42857167,2,0,0,11,11,1,1,0,1,4,0.285714285,0.363636363,0.714285714,0.3922909823330966,6655
"Total","Alex Colome","2 Tms",8,9,5.39999999,0,0,0,2,2,0,0,0,1,2,0,0.111111111,0,0.08029099967744616,6661
"Total","Andrew Miller","NYY",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6785
"Total","Robbie Ross Jr.","BOS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6819
"Total","Sam Freeman","ATL",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8766688108444214,6832
"Total","Joakim Soria","4 Tms",6,6,54.00000054,3,0,0,4,4,1,0,0,1,2,0.6,0.666666666,1.2,0.7515522241592407,6941
"Total","Luke Hochevar","KCR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6943
"Total","Drew Storen","TOR",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6983
