Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Francisco Rodriguez","DET",0,1,0,0,0,9,0,0,0,1,1,0,7.5,16.157639694213866,4.9364459931850435,1642
"Total","Kevin Gregg","CIN",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,1793
"Total","Neal Cotts","MIL",0,1,0,0,0,0,0,0,0,1,1,1,-1,3.13359375,4.609267790615559,1797
"Total","Matt Belisle","MIN",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.15903560499450675,2.8272450801333657,1837
"Total","Edwin Jackson","MIA",0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,1,3.146560382843018,13.140164963999311,1841
"Total","Ryan Madson","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.160431575775147,8.115276919679946,1852
"Total","Matt Moore","2 Tms",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.18373565058013863,0.18373565058013863,1890
"Total","Matt Thornton","WSN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,1918
"Total","Jorge De La Rosa","ARI",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.842360365786133,-2.842360365786133,2047
"Total","Chien-Ming Wang","KCR",0.1,2,27.00000027,0,1,0,0.5,0,0.5,0.5,3.00000003,1,1,-2.8534396771569823,-2.8534396771569823,2074
"Total","Blaine Boyer","BOS",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,2237
"Total","Brandon Gomes","TBR",0.1,3,0,0,0,0,0,0,0,1,6.00000006,0.66666667,1,3.13359375,7.560615916116898,2267
"Total","Joel Peralta","LAD",0,1,0,0,0,9,0,0,0,1,1,0,1,16.13359375,4.609267790615559,2332
"Total","Hector Rondon","CHC",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,8.494058644491584,2391
"Total","Jhoulys Chacin","COL",1,2,0,0,0,0,0,0,0,0,0,0,1,3.1316320417391417,4.895994168327963,2608
"Total","Brett Cecil","2 Tms",1,4,9,0,1,0,0.25,0,0.25,0.5,1,0.33333333,-2,1.151184113774157,2.816784860644198,2660
"Total","Joba Chamberlain","CLE",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,3.146560382843018,2692
"Total","Ross Detwiler","4 Tms",0.2,3,27.00000027,0,2,0,0.66666667,0,0.66666667,0.333333333,1.50000002,1,-3,-2.834629583690887,-2.834629583690887,2859
"Total","Santiago Casilla","OAK",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.159035634994507,5.827245110133366,2873
"Total","Luis Avilan","3 Tms",1.2,4,0,0,0,0,0,0,0,0,0,0,1,3.155064010652323,4.146033073487469,2882
"Total","Zach McAllister","CLE",0,1,0,0,0,0,0,0,0,1,1,1,-1,3.1465603828430178,4.812161129713059,2895
"Total","Josh Ravin","LAD",0.2,3,27.00000027,13.50000014,2,0,0.66666667,0.33333333,0.33333333,0,1.50000002,0,1,1.645616707106934,1.645616707106934,2951
"Total","Tony Watson","3 Tms",1.2,5,16.20000006,0,3,0,0.6,0,0.6,0,0,0,1,-0.44605275636548836,1.5066354551973051,3132
"Total","David Price","LAD",0,1,0,0,0,0,0,0,0,1,1,1,-1,3.170034122467041,3.170034122467041,3184
"Total","Will Harris","HOU",1.2,6,0,0,0,5.40000002,0,0,0,0.333333333,1.2,0.2,0,10.956017704137587,6.099674947335528,3192
"Total","Chris Young","KCR",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8534396771569823,-2.8534396771569823,3196
"Total","Francisco Liriano","PIT",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.2140094757080084,3.2140094757080084,3201
"Total","T.J. McFarland","4 Tms",0.2,4,0,0,0,13.50000014,0,0,0,0.25,1.50000002,0,17.5,22.677339029215695,5.39084991727414,3237
"Total","Joe Smith","3 Tms",0.2,2,0,0,0,0,0,0,0,0.5,1.50000002,0.5,-2,3.148057222440579,3.148057222440579,3281
