Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Joe Smith","6 Tms",8,27,10.125,2.25,4.5,0,0.33333333,0.07407407,0.25925926,0.227272727,0.875,0.3125,0.71428571,1.655507953961075,3.50934236136514,3281
"Total","Nate Adcock","CIN",0.2,3,13.49999993,0,1,13.49999993,0.33333333,0,0.33333333,0.333333333,1.49999999,0,2.5,19.6335936675,2.347104814855783,3282
"Total","Anibal Sanchez","DET",1.2,10,10.80000004,10.80000004,1,5.40000002,0.2,0.2,0,0.375,3.00000001,0.4,0.27777778,12.155423867952992,6.489991404056674,3284
"Total","Hector Noesi","CHW",0.1,3,0,0,0,0,0,0,0,0.666666666,6.00000006,0.66666667,-0.5,3.13359375,11.987638082233797,3292
"Total","Chris Hatcher","2 Tms",3,9,8.99999997,5.99999998,1.5,0,0.33333333,0.22222222,0.11111111,0,0.66666666,0,0.5,3.1521049393640315,4.3002406174839845,3299
"Total","Darren O'Day","3 Tms",3.1,16,18.90000008,5.40000002,3.5,0,0.4375,0.125,0.3125,0.166666666,1.2,0.4,0.5,2.5532452155096346,4.199013514340956,3321
"Total","Cesar Ramos","2 Tms",3.1,12,2.7,2.7,1,0,0.08333333,0.08333333,0,0.125,0.6,0.11111111,0.66666667,4.338780404329428,6.16656726677223,3357
"Total","Jumbo Diaz","2 Tms",2.1,7,11.57142859,0,3,0,0.42857143,0,0.42857143,0.142857142,0.42857143,0.25,-2,0.5730098142299971,1.2868387067654843,3397
"Total","Andre Rienzo","MIA",0.2,3,0,0,0,0,0,0,0,0.333333333,1.49999999,0.33333333,1,3.1335937500000006,5.347104799855783,3507
"Total","Danny Duffy","KCR",1,3,27,0,3,0,1,0,1,0,0,0,1,-2.8534396171569822,-2.8534396171569822,3542
"Total","Clay Buchholz","BOS",1,2,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,3543
"Total","Carlos Frias","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,3547
